VCD info: dumpfile 0008/test_1.vcd opened for output.
6000ns q_asyncrst_o = 0, d_i = 0, reset = 1
6000ns q_syncrst_o = 0, d_i = 0, reset = 1
6000ns q_norst_o = 0, d_i = 0, reset = 1
16000ns q_asyncrst_o = 0, d_i = 0, reset = 1
16000ns q_syncrst_o = 0, d_i = 0, reset = 1
16000ns q_norst_o = 0, d_i = 0, reset = 1
26000ns q_asyncrst_o = 0, d_i = 0, reset = 0
26000ns q_syncrst_o = 0, d_i = 0, reset = 0
26000ns q_norst_o = 0, d_i = 0, reset = 0
36000ns q_asyncrst_o = 0, d_i = 0, reset = 0
36000ns q_syncrst_o = 0, d_i = 0, reset = 0
36000ns q_norst_o = 0, d_i = 0, reset = 0
46000ns q_asyncrst_o = 1, d_i = 0, reset = 0
46000ns q_syncrst_o = 1, d_i = 0, reset = 0
46000ns q_norst_o = 1, d_i = 0, reset = 0
56000ns q_asyncrst_o = 0, d_i = 0, reset = 0
56000ns q_syncrst_o = 0, d_i = 0, reset = 0
56000ns q_norst_o = 0, d_i = 0, reset = 0
66000ns q_asyncrst_o = 1, d_i = 1, reset = 1
66000ns q_syncrst_o = 1, d_i = 1, reset = 1
66000ns q_norst_o = 1, d_i = 1, reset = 1
76000ns q_asyncrst_o = 0, d_i = 1, reset = 1
76000ns q_syncrst_o = 0, d_i = 1, reset = 1
76000ns q_norst_o = 1, d_i = 1, reset = 1
86000ns q_asyncrst_o = 1, d_i = 0, reset = 0
86000ns q_syncrst_o = 1, d_i = 0, reset = 0
86000ns q_norst_o = 1, d_i = 0, reset = 0
96000ns q_asyncrst_o = 0, d_i = 0, reset = 0
96000ns q_syncrst_o = 0, d_i = 0, reset = 0
96000ns q_norst_o = 0, d_i = 0, reset = 0
106000ns q_asyncrst_o = 0, d_i = 1, reset = 0
106000ns q_syncrst_o = 0, d_i = 1, reset = 0
106000ns q_norst_o = 0, d_i = 1, reset = 0
116000ns q_asyncrst_o = 1, d_i = 1, reset = 0
116000ns q_syncrst_o = 1, d_i = 1, reset = 0
116000ns q_norst_o = 1, d_i = 1, reset = 0
126000ns q_asyncrst_o = 1, d_i = 1, reset = 0
126000ns q_syncrst_o = 1, d_i = 1, reset = 0
126000ns q_norst_o = 1, d_i = 1, reset = 0
136000ns q_asyncrst_o = 1, d_i = 1, reset = 0
136000ns q_syncrst_o = 1, d_i = 1, reset = 0
136000ns q_norst_o = 1, d_i = 1, reset = 0
146000ns q_asyncrst_o = 1, d_i = 1, reset = 0
146000ns q_syncrst_o = 1, d_i = 1, reset = 0
146000ns q_norst_o = 1, d_i = 1, reset = 0
156000ns q_asyncrst_o = 1, d_i = 1, reset = 0
156000ns q_syncrst_o = 1, d_i = 1, reset = 0
156000ns q_norst_o = 1, d_i = 1, reset = 0
166000ns q_asyncrst_o = 1, d_i = 0, reset = 0
166000ns q_syncrst_o = 1, d_i = 0, reset = 0
166000ns q_norst_o = 1, d_i = 0, reset = 0
176000ns q_asyncrst_o = 0, d_i = 0, reset = 0
176000ns q_syncrst_o = 0, d_i = 0, reset = 0
176000ns q_norst_o = 0, d_i = 0, reset = 0
186000ns q_asyncrst_o = 1, d_i = 1, reset = 0
186000ns q_syncrst_o = 1, d_i = 1, reset = 0
186000ns q_norst_o = 1, d_i = 1, reset = 0
196000ns q_asyncrst_o = 1, d_i = 1, reset = 0
196000ns q_syncrst_o = 1, d_i = 1, reset = 0
196000ns q_norst_o = 1, d_i = 1, reset = 0
206000ns q_asyncrst_o = 1, d_i = 1, reset = 0
206000ns q_syncrst_o = 1, d_i = 1, reset = 0
206000ns q_norst_o = 1, d_i = 1, reset = 0
216000ns q_asyncrst_o = 1, d_i = 1, reset = 0
216000ns q_syncrst_o = 1, d_i = 1, reset = 0
216000ns q_norst_o = 1, d_i = 1, reset = 0
226000ns q_asyncrst_o = 1, d_i = 1, reset = 0
226000ns q_syncrst_o = 1, d_i = 1, reset = 0
226000ns q_norst_o = 1, d_i = 1, reset = 0
236000ns q_asyncrst_o = 1, d_i = 1, reset = 0
236000ns q_syncrst_o = 1, d_i = 1, reset = 0
236000ns q_norst_o = 1, d_i = 1, reset = 0
Test PASS
0008/tb.sv:137: $finish called at 245000 (1ps)
